Gender,UGPA,LSAT,ZFYA
male,3.4,48.0,0.88
female,3.9,42.0,0.88
female,3.4,44.0,0.88
male,3.7,39.0,0.88
female,3.6,33.0,0.88
male,3.1,40.0,0.88
male,3.9,36.0,0.88
male,3.3,45.0,0.88
female,3.8,36.0,0.88
male,2.1,25.5,0.88
male,3.4,38.0,0.88
male,3.7,38.0,0.88
male,3.1,37.0,0.88
male,3.1,34.0,0.88
male,3.5,42.0,0.88
male,3.8,37.0,0.88
male,3.3,41.0,0.88
female,3.9,31.0,0.88
female,3.5,35.0,0.88
female,4.0,36.0,0.88
male,3.7,41.0,0.88
female,3.5,37.0,0.88
male,3.4,39.0,0.88
female,3.2,40.0,0.88
female,3.7,43.0,0.88
female,3.8,31.0,0.88
female,3.0,36.0,0.88
female,3.5,33.0,0.88
male,2.4,38.0,0.88
male,3.5,42.0,0.88
female,4.0,39.0,0.88
male,2.8,42.0,0.88
female,3.7,31.0,0.88
female,3.8,36.0,0.88
male,3.5,45.0,0.87
male,3.4,39.0,0.87
male,3.3,35.0,0.87
male,3.1,41.0,0.87
male,3.2,34.0,0.87
male,3.0,31.0,0.87
male,3.4,44.0,0.87
male,3.2,46.0,0.87
female,3.4,34.0,0.87
female,3.4,44.0,0.87
male,3.4,30.0,0.87
female,3.3,47.0,0.87
male,3.6,42.0,0.87
male,3.0,37.0,0.87
male,2.8,42.0,0.87
male,3.3,34.0,0.87
male,3.1,34.0,0.87
male,3.0,41.0,0.87
female,3.6,30.5,0.87
male,3.5,35.0,0.87
male,3.1,45.0,0.87
female,3.1,35.0,0.87
male,4.0,43.0,0.87
female,3.9,41.0,0.87
female,3.5,37.5,0.87
female,3.2,48.0,0.87
male,2.5,37.0,0.87
female,3.6,29.0,0.87
male,3.6,37.0,0.87
male,3.5,37.0,0.87
male,3.4,40.0,0.87
female,3.4,33.0,0.87
male,3.3,43.0,0.87
male,3.4,47.0,0.87
male,3.0,39.5,0.87
male,2.5,45.0,0.87
male,2.8,35.0,0.87
male,3.2,37.0,0.87
male,3.1,30.5,0.87
male,3.2,35.0,0.87
female,3.6,40.0,0.87
female,3.1,34.5,0.87
male,3.8,42.0,0.87
male,3.1,39.0,0.87
male,3.4,40.0,0.87
male,3.7,38.0,0.87
male,2.9,41.0,0.87
female,3.5,37.0,0.87
male,3.1,38.0,0.87
male,3.2,38.0,0.87
female,3.4,39.0,0.87
female,3.1,31.5,0.87
male,2.4,39.0,0.87
male,4.0,37.0,0.87
female,2.6,39.0,0.87
female,3.2,40.0,0.87
female,2.5,40.0,0.87
female,3.0,38.0,0.87
male,3.9,48.0,0.87
male,3.1,34.0,0.87
male,3.6,46.0,0.87
male,3.2,33.0,0.87
female,2.9,35.0,0.87
female,3.2,33.5,0.87
male,2.5,45.0,0.87
male,3.1,34.0,0.86
male,2.9,33.0,0.86
female,3.5,36.0,0.86
male,3.5,33.0,0.86
male,3.7,45.0,0.86
male,3.0,39.0,0.86
female,3.6,38.0,0.86
male,4.0,25.0,0.86
female,3.8,41.0,0.86
female,3.2,30.0,0.86
male,3.2,32.0,0.86
female,3.7,42.0,0.86
female,3.5,34.0,0.86
male,3.0,40.0,0.86
female,3.8,48.0,0.86
female,3.8,42.0,0.86
male,3.0,36.0,0.86
male,3.3,42.0,0.86
male,3.8,44.0,0.86
female,3.3,40.0,0.86
male,2.2,45.0,0.86
male,3.5,41.0,0.86
female,3.6,47.0,0.86
male,3.3,48.0,0.86
male,2.3,40.0,0.86
female,3.1,41.0,0.86
female,2.9,38.0,0.86
female,3.0,39.0,0.86
male,2.3,37.0,0.86
male,2.7,36.0,0.86
female,3.3,45.0,0.86
female,3.3,35.0,0.86
male,2.8,33.5,0.86
female,3.5,40.0,0.86
male,3.8,37.0,0.86
male,2.9,39.0,0.86
male,3.4,42.0,0.86
female,3.1,41.0,0.86
male,3.4,37.0,0.86
female,3.3,31.0,0.86
male,3.5,38.0,0.86
female,3.8,38.5,0.86
male,3.2,40.0,0.86
female,2.9,35.0,0.86
female,3.3,37.0,0.86
female,4.0,46.0,0.86
female,3.9,46.0,0.86
male,3.4,34.0,0.86
female,3.4,33.0,0.86
male,3.9,39.0,0.86
female,3.1,47.0,0.86
female,3.6,43.0,0.86
female,3.3,44.0,0.86
male,2.9,28.0,0.86
male,3.4,36.0,0.86
female,3.0,44.0,0.86
male,3.7,43.0,0.86
male,3.0,37.0,0.86
female,3.5,35.0,0.86
female,3.5,39.0,0.86
male,3.3,48.0,0.85
female,3.1,32.0,0.85
male,3.4,44.0,0.85
female,3.7,35.0,0.85
female,3.1,34.0,0.85
female,3.7,43.0,0.85
female,2.5,34.0,0.85
male,3.7,40.0,0.85
male,3.3,30.5,0.85
male,3.7,45.0,0.85
male,2.5,41.0,0.85
male,3.5,48.0,0.85
male,3.4,48.0,0.85
female,3.4,39.0,0.85
male,3.6,38.0,0.85
female,3.4,40.0,0.85
male,3.9,38.0,0.85
female,3.5,43.0,0.85
male,3.8,48.0,0.85
male,3.7,41.0,0.85
female,2.9,32.5,0.85
female,3.0,32.0,0.85
male,3.5,42.0,0.85
female,3.8,37.0,0.85
male,3.0,44.0,0.85
male,3.5,39.0,0.85
male,3.4,35.5,0.85
male,3.8,40.0,0.85
male,3.3,34.0,0.85
male,2.5,39.0,0.85
male,3.3,33.0,0.85
male,3.8,37.0,0.85
male,3.5,45.0,0.85
male,3.7,42.0,0.85
male,2.5,35.5,0.85
male,2.2,37.0,0.85
female,3.7,36.0,0.85
female,3.0,42.0,0.85
male,3.2,39.0,0.85
female,3.6,36.0,0.85
male,3.6,34.0,0.85
male,3.2,45.0,0.85
male,3.6,38.0,0.85
male,3.1,32.5,0.85
female,3.6,34.0,0.85
female,3.8,43.0,0.85
male,3.5,34.0,0.85
female,3.6,39.0,0.85
male,3.5,36.0,0.85
male,3.4,41.0,0.85
female,3.1,41.0,0.85
male,3.6,44.0,0.84
male,3.2,40.0,0.84
male,3.5,37.0,0.84
female,3.2,38.0,0.84
male,3.2,44.0,0.84
male,2.7,32.5,0.84
male,3.3,43.0,0.84
male,3.5,36.0,0.84
male,3.1,40.0,0.84
female,3.4,37.0,0.84
male,2.8,24.0,0.84
male,2.8,45.0,0.84
female,3.1,44.0,0.84
male,3.9,45.0,0.84
female,3.2,45.0,0.84
male,3.5,33.0,0.84
female,3.5,39.0,0.84
male,3.1,38.0,0.84
female,3.1,40.0,0.84
male,2.7,47.0,0.84
female,3.6,38.0,0.84
female,3.4,36.0,0.84
male,2.7,41.0,0.84
female,3.6,41.0,0.84
female,3.8,40.0,0.84
female,3.5,34.0,0.84
female,3.1,36.0,0.84
male,3.0,41.0,0.84
female,3.6,36.0,0.84
male,2.8,35.0,0.84
male,3.3,37.0,0.84
female,3.6,37.0,0.84
female,3.1,40.0,0.84
female,2.6,37.0,0.84
female,3.0,35.0,0.84
female,3.8,48.0,0.84
female,3.3,37.0,0.84
female,3.1,38.0,0.84
male,3.3,34.0,0.84
female,2.8,43.0,0.84
female,3.5,45.0,0.84
male,3.9,37.0,0.84
female,3.9,34.0,0.84
female,2.5,44.0,0.84
male,2.7,48.0,0.84
male,2.8,41.0,0.84
female,3.4,32.0,0.84
male,3.2,42.0,0.84
female,3.8,37.0,0.84
male,3.5,33.0,0.84
male,3.5,38.0,0.84
female,3.3,37.0,0.84
male,3.1,43.0,0.84
male,3.6,37.0,0.84
male,3.4,38.0,0.84
male,3.5,36.0,0.84
male,3.6,48.0,0.84
male,2.3,38.0,0.84
female,3.1,34.0,0.84
female,3.3,32.0,0.84
male,3.3,37.0,0.84
female,2.0,40.0,0.84
female,3.4,43.0,0.83
male,2.4,41.0,0.83
male,3.5,43.0,0.83
male,3.3,47.0,0.83
male,3.4,40.5,0.83
male,3.4,48.0,0.83
female,3.4,38.0,0.83
female,3.9,33.0,0.83
female,3.4,32.0,0.83
male,2.9,37.0,0.83
female,3.5,41.0,0.83
male,3.3,36.0,0.83
male,3.3,36.0,0.83
female,3.4,35.0,0.83
male,3.0,31.0,0.83
female,3.1,36.0,0.83
male,2.6,40.0,0.83
male,3.1,42.0,0.83
male,3.3,39.0,0.83
male,2.6,39.0,0.83
male,3.4,37.0,0.83
female,3.9,40.0,0.83
male,3.4,45.0,0.83
male,3.2,32.0,0.83
male,2.4,35.0,0.83
male,3.4,41.0,0.83
female,3.4,36.0,0.83
female,3.4,42.0,0.83
male,2.3,42.0,0.83
male,3.3,40.0,0.83
female,3.0,38.0,0.83
male,2.8,33.0,0.83
male,3.8,45.0,0.83
male,3.2,32.0,0.83
male,3.5,39.0,0.83
female,4.0,43.0,0.83
male,4.0,33.0,0.83
male,2.8,38.0,0.83
male,3.4,35.0,0.83
male,3.0,43.0,0.83
female,3.7,40.5,0.83
male,3.8,41.0,0.83
female,3.8,42.0,0.83
female,3.4,38.0,0.83
male,2.4,27.5,0.83
female,3.5,42.0,0.83
female,3.1,34.0,0.83
male,3.1,35.0,0.83
female,4.0,37.0,0.83
female,3.7,32.0,0.83
female,3.5,31.0,0.83
male,3.3,37.0,0.82
female,3.3,36.0,0.82
male,2.4,39.0,0.82
female,3.7,42.0,0.82
male,3.7,40.0,0.82
male,3.6,42.0,0.82
male,3.2,33.0,0.82
male,3.3,33.0,0.82
male,3.5,44.0,0.82
male,3.5,47.0,0.82
female,3.1,28.0,0.82
female,3.5,34.0,0.82
male,2.7,39.0,0.82
female,3.2,42.0,0.82
male,3.4,27.5,0.82
female,4.0,39.0,0.82
male,2.9,31.5,0.82
male,2.7,44.0,0.82
female,3.5,37.0,0.82
female,3.3,39.0,0.82
female,3.7,45.0,0.82
female,3.2,34.5,0.82
male,2.9,37.0,0.82
male,3.4,37.0,0.82
female,3.7,44.0,0.82
female,3.8,42.0,0.82
male,3.2,40.0,0.82
male,2.7,37.0,0.82
male,3.1,46.0,0.82
female,2.9,34.0,0.82
female,3.5,34.0,0.82
male,3.1,34.0,0.82
male,3.2,34.0,0.82
female,3.5,37.0,0.82
male,2.7,35.0,0.82
male,3.2,36.5,0.82
male,2.8,31.5,0.82
female,3.3,39.0,0.82
female,3.5,45.0,0.82
male,3.6,44.0,0.82
male,3.8,29.0,0.82
male,3.8,38.0,0.82
male,3.0,41.0,0.82
male,2.8,47.0,0.82
male,3.4,40.0,0.82
male,3.7,36.0,0.82
male,1.7,37.0,0.82
male,3.0,43.0,0.82
female,3.1,42.0,0.82
male,3.4,46.0,0.81
male,3.6,47.0,0.81
female,3.5,46.0,0.81
female,3.7,37.0,0.81
female,3.9,38.0,0.81
female,3.0,37.5,0.81
male,3.5,42.0,0.81
male,3.6,42.0,0.81
male,3.4,39.0,0.81
female,3.6,44.0,0.81
male,2.2,36.0,0.81
female,3.1,39.0,0.81
male,3.9,37.0,0.81
male,3.6,37.0,0.81
female,3.6,37.0,0.81
female,3.6,38.0,0.81
female,3.0,38.0,0.81
male,3.0,37.5,0.81
male,2.8,41.0,0.81
male,2.7,46.0,0.81
female,3.3,39.0,0.81
male,3.4,37.0,0.81
male,3.4,43.0,0.81
male,3.0,36.0,0.81
female,3.5,37.0,0.81
female,3.5,41.0,0.81
male,2.4,42.0,0.81
male,2.9,22.0,0.81
female,3.0,33.0,0.81
female,3.3,38.0,0.81
male,3.7,44.0,0.81
female,3.5,42.0,0.81
male,3.4,44.0,0.81
male,3.4,38.0,0.81
female,3.1,33.0,0.81
female,3.7,42.0,0.81
male,2.7,42.0,0.81
male,3.7,47.0,0.81
male,3.5,33.0,0.81
female,3.4,45.0,0.81
male,2.3,42.0,0.81
male,3.5,35.0,0.81
female,2.7,36.0,0.81
female,3.6,38.0,0.81
female,2.9,41.0,0.81
female,2.8,29.0,0.81
male,3.1,41.0,0.81
female,3.1,38.0,0.81
female,3.7,38.0,0.81
male,3.2,37.0,0.81
female,3.8,32.0,0.81
male,2.8,42.0,0.81
female,3.5,38.0,0.81
male,3.1,38.0,0.8
female,3.2,33.0,0.8
female,3.1,34.0,0.8
male,3.7,42.0,0.8
female,3.7,34.0,0.8
female,3.7,44.0,0.8
female,3.1,39.0,0.8
male,3.3,29.0,0.8
male,3.1,31.0,0.8
male,3.6,44.0,0.8
male,3.6,46.0,0.8
male,2.9,40.0,0.8
male,3.3,42.0,0.8
female,3.6,35.0,0.8
male,2.6,37.0,0.8
male,3.8,34.0,0.8
male,3.3,43.0,0.8
male,3.4,41.0,0.8
male,3.0,34.0,0.8
male,2.4,33.5,0.8
male,3.4,40.0,0.8
male,3.0,42.0,0.8
male,3.0,37.0,0.8
female,3.2,39.0,0.8
male,3.1,31.5,0.8
male,3.6,44.0,0.8
female,3.5,37.0,0.8
male,3.1,41.0,0.8
male,3.7,40.5,0.8
male,2.9,32.0,0.8
female,2.9,32.0,0.8
male,2.9,35.0,0.8
male,3.1,43.0,0.8
female,2.7,40.0,0.8
female,3.7,26.0,0.8
female,3.8,34.0,0.8
male,3.1,31.0,0.8
male,3.9,35.0,0.8
male,3.7,43.0,0.8
female,2.3,48.0,0.8
male,3.7,43.0,0.8
female,3.5,38.0,0.8
male,2.9,38.0,0.8
male,3.5,46.0,0.8
male,3.4,38.0,0.8
male,3.3,40.0,0.8
male,3.7,30.5,0.8
female,3.7,41.0,0.8
male,2.6,45.0,0.8
male,3.6,46.0,0.8
male,3.6,37.0,0.8
female,3.2,40.0,0.8
female,3.8,27.7,0.8
male,2.9,35.0,0.8
female,3.3,33.0,0.8
male,3.3,40.0,0.8
female,2.5,23.0,0.8
male,3.9,41.0,0.8
male,3.4,42.0,0.8
male,2.0,43.0,0.8
female,2.8,37.0,0.8
female,3.2,30.5,0.8
female,3.4,36.5,0.8
female,2.7,46.0,0.8
male,2.7,45.0,0.8
male,3.1,45.0,0.8
male,3.0,37.0,0.79
male,3.0,23.0,0.79
female,3.8,44.0,0.79
female,3.3,21.0,0.79
male,3.0,32.0,0.79
female,3.5,28.5,0.79
male,3.7,35.5,0.79
male,3.3,39.0,0.79
male,3.9,47.0,0.79
female,3.7,25.0,0.79
male,3.0,39.0,0.79
male,3.8,40.0,0.79
female,3.6,38.0,0.79
female,3.1,31.5,0.79
female,2.9,39.0,0.79
female,3.3,36.5,0.79
female,3.4,46.0,0.79
male,3.6,43.0,0.79
female,3.4,38.0,0.79
male,3.7,29.0,0.79
male,3.4,27.5,0.79
male,2.4,42.0,0.79
male,2.9,47.0,0.79
male,2.5,39.0,0.79
male,3.3,34.0,0.79
male,3.6,37.0,0.79
female,3.4,35.0,0.79
female,3.6,41.0,0.79
female,3.7,34.0,0.79
male,3.3,47.0,0.79
female,3.8,39.0,0.79
female,3.3,36.0,0.79
female,3.4,39.0,0.79
female,3.1,36.0,0.79
male,3.6,43.0,0.79
female,3.5,40.0,0.79
female,4.0,43.0,0.79
female,3.7,38.0,0.79
male,2.5,43.0,0.79
male,3.1,37.0,0.79
male,2.9,46.0,0.79
female,3.2,28.0,0.79
female,3.1,41.0,0.79
male,3.1,42.0,0.79
female,3.4,34.0,0.79
female,3.6,40.0,0.79
female,3.0,37.0,0.79
male,3.5,30.5,0.79
male,3.5,42.0,0.79
female,3.7,39.0,0.78
male,3.8,33.0,0.78
male,3.0,35.0,0.78
female,3.2,35.0,0.78
female,3.9,45.0,0.78
male,3.8,43.0,0.78
male,3.5,38.0,0.78
female,3.5,37.0,0.78
female,3.0,47.0,0.78
male,3.8,43.0,0.78
male,3.7,35.0,0.78
male,3.1,33.0,0.78
female,4.0,33.0,0.78
female,2.5,38.5,0.78
female,3.6,37.5,0.78
male,3.3,36.0,0.78
male,3.5,34.0,0.78
male,3.0,38.5,0.78
male,3.2,31.0,0.78
male,3.5,36.5,0.78
female,3.3,38.0,0.78
male,3.0,40.0,0.78
male,3.9,44.0,0.78
female,3.7,39.0,0.78
female,3.2,42.0,0.78
female,3.5,30.5,0.78
female,4.0,46.0,0.78
male,3.5,28.5,0.78
male,3.5,34.0,0.78
male,3.2,45.0,0.78
male,3.8,34.0,0.78
male,3.6,46.0,0.78
female,3.2,42.0,0.78
female,3.8,44.0,0.78
female,3.0,43.0,0.78
male,2.7,34.0,0.78
male,3.3,35.0,0.78
male,3.9,35.5,0.78
male,2.6,47.0,0.78
female,3.1,31.0,0.78
male,3.0,38.0,0.78
male,3.8,40.0,0.78
male,2.7,36.0,0.78
female,3.0,33.0,0.78
male,3.1,37.0,0.78
female,3.7,44.0,0.78
male,4.1,46.0,0.78
female,3.4,36.0,0.78
female,3.6,37.0,0.78
male,3.3,37.0,0.78
male,3.4,29.0,0.78
female,3.4,39.0,0.78
female,2.7,30.5,0.78
male,3.7,38.0,0.78
female,3.7,32.0,0.78
male,3.1,32.0,0.78
female,2.7,32.5,0.78
female,2.8,31.0,0.78
male,3.9,40.0,0.78
female,2.8,38.0,0.78
female,3.0,42.0,0.78
male,3.9,42.0,0.78
male,3.6,31.0,0.77
female,3.8,39.0,0.77
female,3.6,38.0,0.77
male,3.5,40.0,0.77
male,3.5,38.0,0.77
female,3.3,38.0,0.77
male,3.6,45.0,0.77
male,3.4,36.0,0.77
male,3.2,40.5,0.77
female,3.6,42.0,0.77
male,2.8,38.0,0.77
female,3.3,42.0,0.77
male,3.2,43.0,0.77
female,2.5,25.0,0.77
female,3.3,34.5,0.77
male,3.0,29.0,0.77
female,3.8,33.0,0.77
male,3.7,37.0,0.77
female,3.3,40.0,0.77
female,3.4,48.0,0.77
male,2.8,38.0,0.77
male,3.7,41.0,0.77
male,3.3,31.0,0.77
male,2.4,34.0,0.77
female,3.8,21.0,0.77
female,3.5,42.0,0.77
female,3.0,30.5,0.77
female,3.2,39.0,0.77
female,3.8,37.0,0.77
male,3.7,33.5,0.77
male,3.0,37.0,0.77
male,2.8,37.0,0.77
female,3.6,41.0,0.77
male,3.5,48.0,0.77
male,3.4,36.0,0.77
female,3.2,41.0,0.77
female,3.7,40.0,0.77
female,3.6,38.0,0.77
female,2.7,42.0,0.77
male,3.7,42.0,0.77
female,3.4,19.0,0.77
male,3.7,43.0,0.77
female,3.2,44.0,0.77
male,3.3,38.0,0.77
male,3.4,42.0,0.77
female,3.9,40.0,0.77
male,3.7,44.0,0.77
female,4.0,37.0,0.77
female,3.4,44.0,0.77
male,3.1,44.0,0.77
male,3.2,36.0,0.77
female,3.4,42.0,0.77
female,3.7,42.0,0.77
male,3.6,38.0,0.77
male,2.3,36.0,0.77
female,3.4,40.0,0.77
male,3.0,44.0,0.77
male,3.1,42.0,0.77
female,3.2,37.0,0.77
male,3.3,42.0,0.77
female,3.6,37.0,0.77
male,3.2,34.0,0.77
female,3.4,42.0,0.77
male,2.7,45.0,0.77
female,2.7,37.0,0.77
male,3.6,45.0,0.77
male,2.9,42.0,0.77
female,3.7,36.0,0.77
female,3.8,37.5,0.77
male,3.3,36.5,0.77
male,3.6,38.0,0.77
female,3.9,32.0,0.77
male,3.2,34.0,0.77
male,3.8,39.0,0.77
male,3.6,44.0,0.77
male,2.8,45.0,0.76
female,3.3,29.5,0.76
male,3.1,47.0,0.76
male,3.5,39.0,0.76
female,3.2,39.5,0.76
female,3.7,35.0,0.76
male,3.2,32.5,0.76
female,3.7,35.0,0.76
male,2.6,35.5,0.76
male,3.7,40.0,0.76
female,3.2,34.0,0.76
female,3.6,36.0,0.76
female,3.3,35.0,0.76
female,3.0,35.0,0.76
male,3.7,33.0,0.76
female,3.4,30.0,0.76
male,3.0,33.0,0.76
female,3.7,43.0,0.76
female,3.4,37.0,0.76
female,3.9,38.0,0.76
male,3.4,33.0,0.76
female,3.2,26.3,0.76
female,3.0,37.0,0.76
male,3.5,40.0,0.76
male,2.9,38.0,0.76
female,3.7,48.0,0.76
male,3.7,37.0,0.76
female,3.0,35.5,0.76
female,2.1,32.5,0.76
female,3.5,36.0,0.76
female,3.1,36.0,0.76
male,3.2,36.0,0.76
male,2.9,40.0,0.76
female,3.5,35.0,0.76
female,3.0,40.0,0.76
male,3.7,40.0,0.75
male,3.2,34.5,0.75
male,2.8,33.0,0.75
male,3.3,45.0,0.75
male,2.8,40.0,0.75
female,3.6,41.0,0.75
female,3.9,40.0,0.75
male,3.4,26.0,0.75
male,2.8,41.0,0.75
male,2.6,37.0,0.75
female,3.7,46.0,0.75
male,3.3,35.0,0.75
female,3.2,41.0,0.75
male,3.1,34.0,0.75
male,3.5,35.0,0.75
male,3.6,44.0,0.75
male,3.4,39.0,0.75
male,3.0,44.0,0.75
male,2.7,36.0,0.75
male,3.2,35.0,0.75
male,3.6,36.7,0.75
female,3.3,30.0,0.75
female,2.7,40.0,0.75
female,3.4,32.0,0.75
male,3.6,41.5,0.75
female,3.1,37.0,0.75
male,2.3,37.0,0.75
male,3.2,34.0,0.75
male,3.4,41.0,0.75
female,3.4,43.0,0.75
male,3.4,35.5,0.75
female,2.7,40.0,0.75
female,3.2,30.0,0.75
female,3.2,36.0,0.75
male,3.6,39.0,0.75
male,3.0,40.0,0.75
male,3.7,35.0,0.75
female,3.5,31.0,0.75
male,2.8,35.0,0.75
male,3.2,44.0,0.75
male,3.6,47.0,0.75
male,3.2,44.0,0.75
female,3.0,40.0,0.75
male,2.5,33.5,0.75
female,3.5,37.0,0.75
male,3.4,39.0,0.75
male,2.8,37.0,0.75
female,3.8,46.0,0.75
male,2.5,34.5,0.75
female,3.0,44.0,0.75
male,2.7,43.0,0.75
female,3.0,44.0,0.75
female,3.7,43.0,0.75
female,3.2,41.0,0.75
male,3.1,34.0,0.75
female,3.5,41.0,0.75
male,3.4,33.0,0.75
male,3.6,30.0,0.75
male,3.6,36.0,0.75
male,3.2,31.0,0.75
male,2.5,36.0,0.75
female,3.4,39.0,0.75
male,3.3,44.0,0.75
male,2.7,40.0,0.75
male,3.2,42.0,0.75
male,3.1,30.0,0.75
male,2.9,41.0,0.75
female,3.4,35.0,0.75
male,3.7,41.0,0.75
male,3.0,33.0,0.75
female,3.7,27.0,0.75
male,3.3,40.0,0.75
male,3.2,30.0,0.75
male,3.6,42.0,0.75
male,3.1,30.0,0.75
male,3.5,39.0,0.74
female,3.2,29.0,0.74
female,3.2,40.0,0.74
female,3.6,35.0,0.74
female,3.1,31.0,0.74
female,3.9,44.0,0.74
male,3.2,40.0,0.74
male,2.9,33.0,0.74
male,2.9,41.0,0.74
female,2.7,32.0,0.74
female,3.5,43.0,0.74
male,3.4,42.0,0.74
male,3.6,46.0,0.74
female,3.5,33.5,0.74
male,3.2,37.0,0.74
male,3.1,41.0,0.74
female,3.3,39.0,0.74
female,3.9,39.0,0.74
male,3.1,36.0,0.74
male,2.9,34.0,0.74
male,3.2,41.0,0.74
female,3.5,37.0,0.74
male,2.6,36.0,0.74
male,3.1,35.0,0.74
male,3.2,39.0,0.74
male,3.4,35.0,0.74
male,2.7,42.0,0.74
male,3.5,39.5,0.74
male,2.5,38.0,0.74
male,3.0,38.0,0.74
female,3.5,32.5,0.74
female,3.8,46.0,0.74
male,2.1,34.0,0.74
male,3.7,37.0,0.74
male,3.3,36.0,0.74
male,3.4,38.0,0.74
male,3.3,40.0,0.74
female,3.1,32.0,0.74
female,3.0,34.0,0.74
male,3.7,42.0,0.74
male,3.1,39.0,0.74
female,3.3,38.0,0.74
male,3.3,45.0,0.74
female,3.7,39.0,0.74
male,3.2,36.0,0.74
male,3.7,39.0,0.74
male,3.8,44.0,0.74
male,3.1,37.0,0.74
female,3.6,38.5,0.74
male,3.8,38.0,0.74
male,3.0,37.0,0.74
female,3.7,35.0,0.74
female,3.6,38.0,0.74
female,3.7,37.0,0.74
male,3.5,42.0,0.74
male,3.3,43.0,0.74
female,3.9,42.0,0.74
male,3.2,41.0,0.74
male,3.7,44.0,0.74
male,2.9,46.0,0.74
male,2.5,34.5,0.74
male,3.3,42.0,0.74
female,3.8,42.0,0.74
female,3.6,37.0,0.73
male,3.2,31.0,0.73
male,3.3,37.0,0.73
male,2.1,38.0,0.73
male,2.6,34.0,0.73
female,3.4,41.0,0.73
female,3.4,40.0,0.73
female,3.5,43.0,0.73
female,2.8,40.0,0.73
female,2.8,37.0,0.73
female,3.0,35.0,0.73
male,3.6,40.0,0.73
male,2.9,41.0,0.73
female,2.7,33.0,0.73
female,2.9,35.0,0.73
male,3.9,42.0,0.73
female,2.6,32.0,0.73
female,3.4,43.0,0.73
female,2.8,43.0,0.73
male,2.6,35.0,0.73
female,3.8,38.0,0.73
male,3.0,39.0,0.73
female,3.2,38.0,0.73
female,2.9,35.0,0.73
male,3.3,45.0,0.73
female,3.3,35.0,0.73
male,2.6,40.0,0.73
male,3.0,43.0,0.73
male,3.4,47.0,0.73
female,2.7,45.0,0.73
female,3.9,39.0,0.73
male,3.1,38.0,0.73
male,3.4,40.0,0.73
male,3.3,37.5,0.73
male,2.7,25.5,0.73
female,2.7,41.0,0.73
female,3.5,30.5,0.73
female,3.2,38.0,0.73
female,3.2,43.0,0.73
male,3.5,41.0,0.73
female,2.7,24.0,0.73
male,3.0,39.0,0.73
male,2.5,38.0,0.73
male,3.0,42.0,0.72
male,3.0,39.0,0.72
female,4.0,42.0,0.72
female,3.5,40.0,0.72
male,2.3,29.0,0.72
male,3.3,39.0,0.72
male,3.1,35.0,0.72
male,3.3,36.0,0.72
female,3.6,32.0,0.72
male,3.7,41.0,0.72
male,2.7,45.0,0.72
male,2.9,21.5,0.72
male,3.1,38.0,0.72
female,3.3,33.0,0.72
female,3.6,41.0,0.72
female,3.3,40.0,0.72
male,3.3,41.0,0.72
male,3.8,36.0,0.72
female,3.1,40.0,0.72
female,3.7,38.0,0.72
male,3.9,36.0,0.72
male,3.5,42.0,0.72
female,3.7,35.0,0.72
male,2.9,23.0,0.72
male,3.6,36.0,0.72
female,2.6,41.0,0.72
male,3.6,46.0,0.72
male,3.8,37.0,0.72
male,2.8,42.0,0.72
male,3.3,32.0,0.72
male,3.3,42.0,0.72
female,2.7,39.0,0.72
male,3.5,26.0,0.72
male,3.5,43.0,0.72
male,3.5,34.0,0.72
female,2.8,37.0,0.72
male,2.8,48.0,0.72
male,3.4,35.0,0.72
male,3.5,47.0,0.72
female,3.6,40.0,0.72
female,3.5,33.0,0.72
male,3.4,40.0,0.72
female,3.2,48.0,0.72
male,3.3,36.0,0.72
male,3.6,40.0,0.72
female,3.0,37.0,0.72
male,3.6,32.5,0.72
female,3.2,36.0,0.72
male,3.5,38.0,0.72
female,3.6,33.5,0.72
female,3.4,35.0,0.71
male,3.0,40.0,0.71
male,3.4,42.5,0.71
female,3.4,36.0,0.71
male,3.4,30.0,0.71
female,3.4,37.0,0.71
male,3.1,32.5,0.71
male,2.5,26.0,0.71
female,3.1,32.5,0.71
male,2.9,47.0,0.71
male,3.5,32.0,0.71
male,2.8,37.0,0.71
male,3.6,37.0,0.71
male,2.7,42.0,0.71
male,3.8,35.0,0.71
male,2.7,32.3,0.71
female,3.3,42.0,0.71
female,3.3,44.0,0.71
male,3.2,40.0,0.71
female,3.4,43.0,0.71
male,2.8,43.0,0.71
female,3.9,41.0,0.71
male,3.4,40.0,0.71
male,3.5,38.0,0.71
male,2.9,36.0,0.71
male,3.2,30.0,0.71
female,3.3,40.0,0.71
female,3.8,39.0,0.71
male,3.2,38.0,0.71
female,3.4,48.0,0.71
male,2.8,32.0,0.71
male,3.1,40.0,0.71
male,2.8,35.0,0.71
female,3.5,32.0,0.71
female,3.6,45.0,0.71
female,3.7,33.5,0.71
female,3.2,40.0,0.71
male,3.0,36.0,0.71
male,3.4,36.0,0.71
male,2.8,36.0,0.71
female,3.4,41.0,0.71
female,2.7,32.0,0.71
female,3.7,35.0,0.71
male,2.9,39.0,0.71
male,3.2,37.0,0.71
female,3.1,38.0,0.71
female,3.4,36.0,0.71
female,3.6,38.0,0.71
male,3.1,44.0,0.71
female,3.9,37.0,0.71
female,3.5,42.0,0.71
male,3.3,36.0,0.71
female,2.9,32.0,0.71
female,3.0,35.0,0.71
female,2.8,40.0,0.71
